"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "HTML", "Vue", "CSS", "XML", "Properties", "comment", "blank", "total"
"d:\Project\EventReg\Frontend\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 3, 10, 123
"d:\Project\EventReg\Frontend\src\views\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 5, 7, 68
"d:\Project\EventReg\Frontend\src\views\admin\CompetitionForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 18, 43, 387
"d:\Project\EventReg\Frontend\src\views\admin\CompetitionList.vue", "Vue", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 8, 18, 221
"d:\Project\EventReg\Frontend\src\views\admin\CompetitionManagement.vue", "Vue", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 6, 20, 242
"d:\Project\EventReg\Frontend\src\views\admin\RegistrationList.vue", "Vue", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 20, 27, 350
"d:\Project\EventReg\Frontend\src\views\auth\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 4, 18, 138
"d:\Project\EventReg\Frontend\src\views\auth\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 12, 135
"d:\Project\EventReg\Frontend\src\views\competition\CompetitionDetail.vue", "Vue", 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 25, 39, 301
"d:\Project\EventReg\Frontend\src\views\competition\CompetitionList.vue", "Vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 9, 114
"d:\Project\EventReg\Frontend\src\views\competition\RegistrationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 2055, 0, 0, 0, 339, 357, 2751
"d:\Project\EventReg\Frontend\src\views\user\Profile.vue", "Vue", 0, 0, 0, 0, 0, 0, 370, 0, 0, 0, 23, 40, 433
"d:\Project\EventReg\Frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Project\EventReg\Frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 0, 27
"d:\Project\EventReg\Frontend\tailwind.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Project\EventReg\Frontend\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"d:\Project\EventReg\Frontend\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Project\EventReg\Frontend\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\Project\EventReg\Frontend\vite.config.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"Total", "-", 3760, 294, 7, 4151, 32, 13, 4644, 90, 9, 1, 532, 1504, 15037
